from;to
ngiklan;iklan
ngikut;ikut
ngikuti;ikut
ngikutin;ikut
ngilang;hilang
ngiler;iler
ngincer;incar
ngindar;hindar
nginep;inap
ngira;kira
ngirim;kirim
ngisi;isi
ngitu;begitu
ngitungnya;hitung
ngk;enggak
ngko;nanti
ngkok;nanti
nglakuiin;melakukan
nglawan;lawan
ngliat;lihat
nglokro;putus asa
ngmg;omong
ngmng;omong
ngmongin;omong
ngmongnya;omong
ngobong;bakar
ngobrol;obrol
ngobrolin;obrol
ngoceh;bicara
ngomong;omong
ngomongin;omong
ngomongnya;omong
ngompol;ompol
ngomporin;mengompori
ngono;begitu
ngonsepin;konsep
ngopi;kopi
ngopo;kenapa
ngorbanin;korban
ngotot;mengotot
ngrasain;rasa
ngrasakno;rasa
ngreplay;replay
ngributin;ribut
ngrti;mengerti
ngrugino;rugi
ngrusaki;rusak
ngsh;mengasih
nguap;menguap
nguasain;menguasai
ngubah;mengubah
ngucap;ucap
ngudud;merokok
ngulang;mengulang
ngumpet;umpet
ngumpul;kumpul
ngundang;undang
ngundurin;mengundur
nguras;kuras
ngurus;urus
ngurusan;urus
ngurusi;urus
ngurusin;urus
ngusir;usir
ngusulin;usul
nh;xyz
nhe;ini
ni;ini
nih;ini
nihapa;ini apa
nihh;ini
nii;ini
nikmatin;nikmat
nimbang;menimbang
nimbrung;menimbrung
nimpalin;menimpali
ning;di
ninggalin;meninggalkan
ninjamu;ninja
nira;nira
nitezen;netizen
nitip;menitip
niunamenos;xyz
njaluk;minta
njeglek;anjlok
njenegan;kamu
njeng;anjing
njerone;dalam
njing;anjing
njir;anjir
njirr;anjir
njuk;minta
nk;jika
nkri;negara kesatuan republik indonesia
nmtn;menonton
nnt;nanti
nnti;nanti
nnton;menonton
no;tidak
nobar;menonton bareng
nobat;tobat
noh;itu
nohh;itu
nolak;menolak
nolong;menolong
nomer;nomor
nongki;menongkrong bareng
nongkrong;menongkrong
nonton;menonton
nspk;norma standar prosedur dan kriteria
nstrasi;menstruasi
ntah;entah
ntar;entar
ntb;nusa tenggara barat
ntekij;menghabiskan
nti;nanti
ntinya;nanti
ntn;nonton
ntr;entar
ntt;nusa tenggara timur
ntu;itu
nudd;xyz
nuduh;menuduh
nugas;tugas
nulis;menulis
number;nomor
numpak;naik
numpang;tumpang
numpuk;tumpuk
nunda;menunda
nunggangin;tunggang
nunggu;tunggu
nungguin;tunggu
nunjuk;tunjuk
nunjukin;tunjuk
nuntut;tuntut
nuranitanggapi;nurani tanggapi
nurmantyp;nurmantyo
nurut;menurut
nutup;menutup
nutupi;menutup
nutut;sampai
ny;xyz
nya;xyz
nyaa;xyz
nyabun;sabun
nyadar;sadar
nyaingin;saing
nyaksiin;menyaksikan
nyalahin;salah
nyalahke;salah
nyaleg;caleg
nyalonin;mencalonkan
nyamar;menyamar
nyambut;menyambut
nyampaikan;menyampaikan
nyampe;sampai
nyampek;sampai
nyamperin;menyamperi
nyampetweet;sampai tweet
nyandak;mengambil
nyangka;sangka
nyangkal;sangkal
nyantai;santai
nyapu;menyapu
nyaranin;menyarankan
nyari;mencari
nyarumput;mengumpet
nyatet;mencatat
nyatweet;tweet
nyaw;iya
nyawang;tampak
nyayangin;sayang
nye;xyz
nyebar;sebar
nyebarin;sebar
nyebarinnya;sebar
nyebarkan;sebar
nyebutin;sebut
nyebutnya;sebut
nyekip;skip
nyelamatin;selamat
nyelipin;menyelipi
nyeludupin;selundup
nyembuhin;sembuh
nyempil;menyempil
nyengir;menyengir
nyengsarain;sengsara
nyengsarakan;sengsara
nyerang;menyerang
nyerna;cerna
nyesahkan;sah
nyesel;menyesal
nyet;monyet
nyetorin;setor
nyetujuin;setuju
nyewa;sewa
nyicil;menyicil
nyieun;buat
nyiksa;siksa
nyimak;simak
nyimpen;simpan
nyindir;sindir
nyinyirin;nyinyir
nyiptain;cipta
nyium;cium
nyoba;coba
nyogok;sogok
nyolong;colong
nyolotnya;nyolot
nyong;aku
nyukupi;cukup
nyundul;sundul
nyuratin;surat
nyuruh;suruh
nyusahin;susah
nyusuin;susu
nyusun;susun
nyusunnya;susun
oasti;pasti
ob;office boy
obl;omnibus law
obnibus;omnibus
obnimus;omnibus
obyek;objek
obyektifitas;objektivitas
october;oktober
odadig;odading
oembahasan;pembahasan
oengesahannya;pembahasan
oenjelasannya;penjelasan
oenuh;penuh
oenyusunan;penyusunan
oerubahan;perubahan
oeyy;xyz
oeyyy;xyz
oge;juga
ogeb;bego
ohh;oh
ohiya;oh iya
oii;oi
oikeuksia;xyz
oiya;oh iya
ojo;jangan
ojok;jangan
ojol;ojek online
ok;oke
okay;oke
okeh;oke
okey;oke
okk;oke
okober;oktober
okok;oke
okotber;oktober
okt;oktober
okto;oktober
olh;oleh
oligark;oligarki
oligarkis;oligarki
ologarki;oligarki
olshop;online shop
ombinus;omnibus
ombnibus;omnibus
omg;omong
omibuslaw;omnibus law
ominbus;omnibus
ominubus;omnibus
omni;omnibus
omnibis;omnibus
omnibslaw;omnibus law
omnibu;omnibus
omnibulaw;omnibus law
omnibuslaw;omnibus law
omnibuslawhmi;omnibus law
omnibuslawtransparan;omnibus law transparan
omnibuslawtweet;omnibus law tweet
omnibuslow;omnibus law
omnimbus;omnibus law
omnimbuslaw;omnibus law
omnisbus;omnibus
omnisbuslaw;omnibus law
omnnibus;omnibus
omongkosong;omong kosong
omtweet;om tweet
onepiece;one piece
onimboslaw;omnibus law
onimbus;omnibus
onimbuslaw;omnibus law
onlen;online
onlinewarga;online warga
onmnibus;omnibus
ono;ada
onok;ada
ontyy;onty
ooc;xyz
ooh;oh
oomf;salah satu dari followers saya
oon;beloon
ooo;xyz
oooppssstweet;tweet
oot;diluar topik
ooy;oi
open;buka
opinion;opini
opinionmu;opini kamu
opo;apa
opoo;apa
opportunities;peluang
oppose;menentang
opposed;menentang
opposition;oposisi
oppression;penindasan
opressed;tertekan
opsioke;opsi oke
optimistis;optimis
or;atau
ora;tidak
orangtua;orang tua
orasah;tidak usah
orasainya;orasi
orba;orde baru
orepmu;hidup kamu
org;orang
orgns;organisasi
orgtua;orang tua
originalnya;asli
ormas;organisasi massa
orng;orang
ortu;orang tua
oss;online single submission
ot;lembur
otaknye;otak
other;lain
others;orang lain
otherwise;jika tidak
otinomi;otonomi
otokritik;autokritik
otsoursing;outsourcing
otsus;otonomi khusus
ott;operasi tangkap tangan
otw;dalam perjalanan
ouf;xyz
our;kami
out;keluar
outline;garis besar
outrageous;memalukan
outsorhc;outsourcing
outsource;outsourcing
outsourching;outsourcing
outsourcing;outsourcing
over;lebih
overthinking;berfikir berlebihan
overwork;terlalu banyak pekerjaan
own;sendiri
owned;dimiliki
ownership;kepemilikan
ownibus;omnibus
ownibuslaw;omnibus law
oya;oh iya
oyee;xyz
pa;apa
pabri;pabrik
pad;pendapatan asli daerah
padahl;padahal
padal;pasal
padane;sama halnya
padatanggal;pada tanggal
padatnyah;padat
pade;pada
pagawean;pekerjaan
pahamin;paham
pahammm;paham
pahlawantweet;pahlawan tweet
paid;dibayar
pakabar;apa kabar
pakariyono;pak ariyono
pakdhe;pakde
pake;pakai
pakek;pakai
pakk;pak
pakyu;brengsek
pala;kepala
palangkaraya;palangka raya
palestin;palestina
palingfixfixbanget;paling pasti banget
palmerah;palang merah
pamingpin;pemimpin
pancasalah;pancasila salah
pancasilais;pancasila
pancasilaruu;pancasila rancangan undang undang
pandemic;pandemi
pandemik;pandemi
paniti;panitia
panitya;panitia
panja;panitia kerja
pansos;panjat sosial
papanobita;papa nobita
paper;kertas
paperless;tanpas kerta
papol;pak polisi
papuaunik;papua unik
par;xyz
parangkuda;parungkuda
paranolmal;paranormal
pararunten;permisi
paratai;partai
parataimu;partai kamu
paripuna;paripurna
paripurnaanggota;paripurna anggota
paripurnademokrat;paripurna demokrat
parlement;parlemen
parliamentary;parlementer
parpol;partai politik
partic;partikel
pasa;pasal
pascaaksi;pasca aksi
pascademo;pasca demo
pascadisahkannya;pasca sah
pascapandemi;pasca pandemi
pascapengesahan;pasca pengesahan
paser;pasir
paska;pasca
paslon;pasangan calon
pastinyaa;pastinya
pastiya;pastinya
pattirobanten;pattiro banten
pause;jeda
pb;pengurus besar
pbhi;perhimpunan bantuan hukum
pbnu;pengurus besar nahdlatul ulama
pd;pada
pda;pada
pdahal;padahal
pdb;produk domestik bruto
pdfnya;pdf
pdftweet;pdf tweet
pdhal;padahal
pdhl;padahal
pdmo;pendemo
pea;bodoh
pebruari;februari
pedgang;pedagang
peecaya;percaya
peg;pegang
pek;xyz
pekerjaida;pekerja ida
pekerjapemerintah;pekerja pemerintah
pekoktweet;bodoh tweet
pekwrja;pekerja
pelaksanan;pelaksanaan
peleteon;peleton
pelitasenja;pelita senja
pemalass;pemalas
pembahasn;pembahasan
pember;pemberi
pemberitaanterkait;pemberitaan terkait
pemda;pemerintah daerah
pemdemo;pendemo
peme;xyz
pememrintah;pemerintah
pemeriksaantweet;pemeriksaan tweet
pemerinah;pemerintah
pemerinta;pemerintah
pemerintahe;pemerintah
pemerintahpusat;pemerintah pusat
pemerntah;pemerintah
pemikiranya;pemikiran
pemkab;pemerintah kabupaten
pemkot;pemerintah kota
pemprov;pemerintah provinsi
pemprove;pemerintah provinsi
pemprovokasi;provokasi
pempus;pemerintah pusat
pemrednya;pemimpin redaksi
pemrhati;pemerhati
pemudageprek;pemuda geprek
penaggulangan;penanggulangan
pencabutn;pencabutan
pencatuman;pencantuman
pencutus;pencetus
pend;pendidikan
pendaftarn;pendaftaran
pendapatnyaa;pendapat
pendemone;pendemo
pendomo;pendemo
pendpat;pendapat
pengacarafahmi;pengacara fahmi
pengesahanini;pengesahaan ini
pengesahanya;pengesahaan
penghianat;pengkhianat
pengin;ingin
pengkhianatrakyat;pengkhianat rakyat
pengkhiantan;pengkhianatan
pengunjukrasa;pengunjuk rasa
pengunjungaksi;pengunjuk aksi
penjeiasan;penjelasan
penola;penolak
penolaka;penolakan
penolakaan;penolakan
pensaran;penasaran
pentunjuknya;petunjuknya
penyederhadaan;penyederhanaan
peogram;program
people;orang orang
peoples;orang
per;xyz
perancangananya;perancangannya
perbedaanya;perbedaannya
percoyo;percaya
percya;percaya
perda;peraturan daerah
perdwbatan;perdebatan
pereakilan;perwakilan
perempuantak;perempuan tak
perhaps;mungkin
perhatiin;perhatikan
perijinan;perizinan
perizinnnya;perizinannya
perjuangannua;perjuangannya
perjuangin;perjuangkan
perlidungan;perlindungan
permasalahin;permasalahkan
permasalahke;permasalahkan
permdh;permudah
permenkes;peraturan menteri kesehatan
perna;pernah
perngharmonisasian;pengharmonisasian
perppu;peraturan pusat
perpu;peraturan pusat
persayaratan;persyaratan
persetejuan;persetujuan
persih;bersih
personil;personel
perspective;perspektif
pert;pertama
pertanggungjawaban;pertanggungjawaban
pertannyaan;pertanyaan
pertanyaanya;pertanyaannya
pertanyannya;pertanyaannya
pertinyiinyii;pertanyaannya
pertumbuham;pertumbuhan
perushaan;perusahaan
peruuan;undang undang
perweek;perminggu
peryataan;pernyataan
pesngin;pesangon
petici;petisi
petinggu;petinggi
petition;petisi
peyakit;penyakit
pffftt;xyz
pgn;ingin
phkmembandingkan;phk membandingkan
piblik;publik
pic;gambar
picture;gambar
pie;bagaimana
piha;pihak
pihakkemenaker;pihak kemenaker
pihan;pilihan
pii;pelajar islam indonesia
pikirin;pikir
pilariu;pilar
pimp;pimpin
pimpinanya;pimpin
pindana;pidana
pingin;ingin
pingsang;pingsan
pinisirin;penasaran
pinned;disematkan
pinpinan;pimpinan
pintartweet;pintar tweet
pinten;berapa
pinter;pintar
pinternya;pintar
pinterr;pintar
pis;peace
pisbro;peace bro
piye;bagaimana
pjs;penjabat sementara
pk;pakai
pkai;pakai
pke;pakai
pkerja;pekerja
pkerjaan;pekerjaan
pkrjaan;pekerjaan
pkskabbandung;pks kabupaten bandung
pkwt;perjanjian kerja waktu tertentu
place;tempat
plaksananya;pelaksanaan
plan;rencana
plandemic;pandemi
platte;plate
played;dimainkan
playing;bermain
please;tolong
plenary;pleno
plenty;banyak
plesiran;pelesiran
plg;paling
pling;paling
plintiran;pelintiran
plis;tolong
pliss;tolong
plisss;tolong
plng;paling
plottwistnya;plot twist
pls;tolong
plt;pelaksana tugas
plural;jamak
pndengaran;pendengaran
pndidikan;pendidikan
pndpt;pendapat
pngangguran;pengangguran
pngesah;pengesahan
pnjng;panjang
pnm;permodalan nasional madani
pny;punya
pnyusunan;penyusunan
po;apa
podcaststmj;podcast stmj
podo;sama
poedjihardianti;poedji hardianti
pohn;pohon
poinmedia;poin media
point;poin
pointing;poin
points;poin
poinya;poin
pokja;kelompok kerja
poko;pokok
pokom;pokok
poksi;kelompok fraksi
polarized;polarisasi
police;polisi
policies;polisi
policy;polisi
poliisi;polisi
polis;polisi
political;politik
politicians;politisi
politics;politik
politika;politik
politikal;politik
politikkomunikasi;politik komunikasi
politis;politisi
polrinya;polri
pontesial;potensial
pontiana;pontianak
poor;miskin
poorer;lebih miskin
popers;pop
popotoan;berfoto
populi;rakyat
populis;rakyat
portaljember;portal jember
portion;porsi
positiftweet;positif tweet
positip;positif
positive;positif
posted;diposting
postingan;posting
postingannya;posting
postingnnya;posting
potweet;apa tweet
pov;sudut pandang
pph;pajak penghasilan
ppl;orang orang
pplh;perlindungan dan pengelolaan lingkungan hidup
ppsu;petugas penanganan prasarana dan sarana umum
ppuu;panitia perancangan undang undang
pr;pekerjaan rumah
praksi;fraksi
praksis;fraksi
praktek;praktik
prasaan;perasaan
pratikno;praktikan
pratiknuo;praktikan
praturan;peraturan
prbuatan;perbuatan
prcaya;percaya
prd;partai rakyat demokratik
predominantly;terutama
pregnancy;kehamilan
preingatan;peringatan
prekonomian;perekonomian
presidenhari;presiden hari
presidenlusa;presiden lusa
presidenruu;presiden rancangan undang undang
president;presiden
presidential;presidensial
presidents;presiden
prespektif;perspektif
preti;pretty
prett;bohong
prettt;bohong
price;harga
prihal;perihal
prihatin;prihatin
prilaku;perilaku
primetime;jam tayang utama
priode;periode
privilege;hak istimewa
privilegemu;hak istimewa kamu
prlu;perlu
prnah;pernah
prnh;pernah
problematic;problematik
problems;problem
procedure;prosedur
process;proses
prod;produk
produknha;produk
produktifitas;produktivitas
professor;profesor
profile;profil
profokator;provokator
progam;program
progresifjaya;progresif jaya
progress;perkembangan
prokes;protokol kesehatan
proleg;program legislatif
prolegnas;program legislatif nasional
promo;promosi
promoin;promosi
promote;promosi
promoter;promotor
property;properti
propose;mengusulkan
prosedurtak;prosedur tak
prosesny;proses
prosessor;prosesor
prospecting;pencarian
protest;protes
protesters;pengunjuk rasa
protestors;pengunjuk rasa
protests;protes
proud;bangga
provided;disediakan
provisions;provinsi
provokatorin;provokator
prsdn;presiden
prtama;pertama
prtumbuhan;pertumbuhan
prtweet;tweet
prusahaan;perusahaan
prwakilan;perwakilan
psak;pernyataan standar akuntansi keuangan
psal;pasal
psangon;pesangon
psda;pengembangan sumber daya anggota
psdkp;pengawasan sumber daya kelautan dan perikanan
pshk;pusat studi hukum dan kebijakan
pshtn;pusat studi hukum tata negara
psl;pasal
psoting;posting
psti;pasti
public;publik
publica;publik
publikragam;publik ragam
publiksatu;publik satu
published;diterbitkan
publishing;penerbitan
pukulin;pukul
pulisi;polisi
punten;permisi
pup;berak
pure;murni
pusattolak;pusat tolak
pushing;pusing
pushranktweet;menaikkan peringkat
pusingsebelum;pusing sebelum
pusyingg;pusing
puter;putar
pwi;persatuan wartawan indonesia
pwkt;perjanjian kerja untuk waktu tertentu
pwnu;pengurus wilayah nahdlatul ulama
py;bagaimana
qna;sesi tanya jawab
qs;quran surat
quickly;segera
quite;cukup
quote;kutipan
quotes;kutipan
ra;enggak
rabakal;enggak bakal
radarbogor;radar bogor
radarjember;radar jember
radikaalisti;radikalisme
radue;tidak punya
ragkuman;rangkuman
rahsia;rahasia
rai;muka
raker;rapat kerja
rakjat;rakyat
rakor;rapat koordinasi
rakya;rakyat
rakyatdukung;rakyat dukung
rakyatfahira;rakyat fahira
rakyatmedia;rakyat media
rakyatmengaku;rakyat mengaku
rakyatruu;rakyat rancangan undang undang
rakyatwalk;rakyat berjalan
ralattweet;ralat tweet
rame;ramai
ramean;ramai
ramein;ramai
ramudeng;tidak paham
rancanan;rancangan
rangcangan;rancangan
range;jarang
ranggawidigda;rangga widigda
rangkumtweet;rangkum tweet
rangorang;orang orang
raono;tidak ada
rapatmalamminggu;rapat malam minggu
rapet;rapat
rapikanbelum;rapi belum
rapur;rapat paripurna
rariweuh;sibuk
rasah;tidak usah
rasain;rasa
rasane;rasa
rasaya;rasa
rasido;tidak jadi
rat;xyz
ratas;rapat terbatas
ratau;tidak tahu
ratification;ratifikasi
rau;tahu
raven;gagak
rb;ribu
rbu;ribu
rd;xyz
react;reaksi
reaction;reaksi
read;baca
readers;pembaca
reading;bacaan
ready;siap
real;nyata
realitane;realita
reality;realitas
really;betulkah
rebo;rabu
recent;belakangan ini
recession;resesi
record;merekam
red;merah
reduce;mengurangi
reducing;mengurangi
reetwet;retweet
referring;mengacu
reflex;refleks
refresif;represif
refuse;menolak
refused;menolak
regarding;mengenai
regulate;mengatur
regulation;peraturan
rejected;ditolak
rejeki;rezeki
rejim;rezim
rek;xyz
rekanaker;rekan ketenagakerjaan
rekruter;perekrut
relate;berhubungan
release;rilis
relevant;relevan
reminder;peringatan
remotnya;remot
removing;menghapus
rep;balas
repeat;ulang
reply;balas
replynya;balas
report;melaporkan
reporters;reporter
reportersatu;reporter satu
repost;posting ulang
reposted;posting ulang
representative;representatif
represivitas;represifitas
republ;republik
republic;republik
republika;republik
resahdi;resah di
research;penelitian
residents;warga
resource;sumber
respack;respek
respect;respek
respek;respek
respon;respons
response;tanggapan
rest;istirahat
restaurant;restoran
resto;restoran
restonya;restoran
restrictions;pembatasan
retweet;tweet ulang
retweetan;tweet ulang
revalan;relevan
reviewjangan;review jangan
reviewkb;review kb
revision;revisi
revisitweet;revisi tweet
revolution;revolusi
revolutionary;revolusioner
rezqinya;rezeki
rg;ragu
ri;rakyat indonesia
riaupos;riau pos
ributin;ribut
rich;kaya
richer;orang kaya
ricuhe;ricuh
ricuhtolak;ricuh tolak
rift;retak
right;baik
rights;hak
rikhianatirakyat;republik indonesia khianati rakyat
rinal;final
rinciannya;rincian
ringtimesbali;ringtimes bali
ringtimesbanyuwangi;ringtimes banyuwangi
riot;rusuh
riots;rusuh
risih;risi
risk;risiko
rivew;review
riyuh;riuh
rk;xyz
rkn;rekan
rkuhp;rancangan kitab undang undang hukum pidana
rkyt;rakyat
rl;kehidupan nyata
rly;xyz
rmh;rumah
rmolaceh;rmol acel
rmolsumsel;rmol sumatera selatan
rndahkan;rendahkan
ro;sambil
roko;rokok
romanticization;romantisasi
romeoo;romeo
room;ruangan
row;baris
rp;rupiah
rpat;rapat
rpjmd;rencana pembangunan jangka menengah daerah
rrr;xyz
rru;rancangan undang undang
rs;rumah sakit
rt;tweet ulang
rtf;xyz
rtrw;rencana tata ruang wilayah
ru;rancangan undang undang
rubuh;roboh
rudymengapa;rudy mengapa
rufaminwapres;ruf amin wakil presiden
rugikanrakyat;rugikan rakyat
ruined;rusak
ruled;diatur
rules;aturan
rumahaksara;rumah aksara
rumahaman;rumah aman
rumangsane;perasaan
rumputketua;rumput ketua
rung;belum
rupbasanpas;rupbasan pas
rupm;rencana umum penanaman modal
ruqiyah;rukiah
rurypermana;ruri permana
rusakin;rusak
ruu;rancangan undang undang
ruuciptaker;rancangan undang undang cipta kerja
ruuciptakerja;rancangan undang undang cipta kerja
ruuck;rancangan undang undang cipta kerja
ruuhip;rancangan undang undang haluan ideologi pancasila
ruukuhp;rancangan undang undang kitab undang undang hukum pidana
ruunya;rancangan undang undang
ruuomnibuslaw;rancangan undang undang omnibus law
saatna;saat
saaya;saya
sabagai;sebagai
sachetan;saset
sad;sedih
safe;aman
safety;keamanan
sahh;sah
sahin;sah
sahkan;sah
sahkanketua;sah ketua
sahkkan;sah
saiki;sekarang
sak;sesuai
sakjane;sebenarnya
sakniki;sekarang
sakola;sekolah
sala;salah
salahe;salah
salahin;salah
salahke;salah
salahsatu;salah satu
salaries;gaji
samain;sama
same;sama
sami;sama
sampa;sampai
sampahny;sampah
sampaikn;sampah
sampe;sampai
sampean;kamu
sampek;sampai
sampeyan;kamu
samsek;sama sekali
sangeunah;seenaknya
sangking;saking
sanitaizer;sanitizer
santuy;santai
saos;saus
sapuh;sapu
sapujagat;sapu jagat
sarange;sarang
saranghae;aku cinta kamu
saria;kalian
sarkas;sarkasme
satantas;satlantas
satunyaa;satu
savana;sabana
say;kata
sayaa;saya
sayang;sayang
sayangee;sayang
sayangin;sayang
sayaruu;saya rancangan undang undang
says;kata
sb;serikat buruh
sbagai;sebagai
sbangsa;sebangsa
sbb;sebagai berikut
sbelum;sebelum
sbenerny;sebenarnya
sbenrnya;sebenarnya
sberapa;seberapa
sbg;sebagai
sbgmn;sebagaimana
sbgvburuh;sebagai buruh
sblm;sebelum
sblmny;sebelumnya
sblmnya;sebelumnya
sblum;sebelum
sbm;xyz
sbnernya;sebenarnya
sbnrnya;sebenarnya
sbnyak;sebanyak
sbsinews;sbsi news
sbuah;sebuay
sby;susilo bambang yudhoyono
sbyk;sebanyak
scara;secara
scared;takut
scene;adegan
sch;xyz
schedule;jadwal
scmp;xyz
scr;secara
screenshot;tangkapan layar
screenshotan;tangkapan layar
scroll;gulir
scrolling;gulir
sda;sumber daya alam
sdaftar;daftar
sdangkan;sedangkan
sdanya;seadanya
sdg;sedang
sdgkan;sedangkan
sdh;sudah
sdhlah;sudah
sdhmempersiapkan;sudah mempersiapkan
sdm;sumber daya manusia
sdr;saudara
seabreg;seabrek
search;cari
season;musim
sebagain;sebagainya
sebaliknnya;sebaliknya
sebanrnya;sebenarnya
sebarin;sebarkan
sebarluaskan;sebar luaskan
sebel;sebal
sebelll;sebal
sebelumnyademo;sebelumnya demo
sebelumya;sebelumnya
sebenarny;sebenarnya
sebenarx;sebenarnya
sebeneranya;sebenarnya
sebenernya;sebenarnya
sebenrnya;sebenarnya
sebgai;sebagai
seblm;sebelum
seblumnya;sebelumnya
sebnarnya;sebenarnya
sebnrnya;sebenarnya
second;kedua
secretary;sekretaris
sector;sektor
sediih;sedih
sedurunge;sebelumnya
see;jumpa
seelum;sebelum
seen;terlihat
seendonesia;seluruh indonesia
seenggake;seenggaknya
sefruit;sebuah
segara;segera
segitu;begitu
segitunya;begitu
seglintir;segelintir
seh;sah
sehaat;sehat
seharuse;seharusnya
seharusxa;seharusnya
sehatakan;sehat akan
sehinggakita;sehingga kita
sek;bentar
sekalibaca;sekali baca
sekaramg;sekarang
sekianjodohtaehyung;sekian jodoh taehyung
sekianterimagajimatamui;sekian terima gaji mata mui
sekjend;sekjen
sekls;sekelas
seko;dari
sekolahin;sekolah
sekolaho;sekolah
sekretarismenko;sekretaris menko
sekrt;sekretaris
seksama;saksama
sektika;seketika
selaine;selainnya
selamet;selamat
selametan;selamat
selametin;selamat
seleb;selebriti
selebtwit;selebriti tweet
selengkapn;selengkapnya
selese;selesai
selingluhan;selingkuhan
selngkpnya;selengkapnya
selow;santai
semalem;semalam
semangaaat;semangat
semangatt;semangat
semangattt;semangat
semenjar;semenjak
semngat;semangat
semogaa;semoga
semogabuka;semoga buka
semogajangandidemoamin;semoga jangan di demo amin
sempet;sempat
sempetnya;sempat
sempurnatweet;sempurna tweet
semuaa;semua
semuabperkataanmu;semua perkataanmu
semuany;semuanya
semuanyaa;semuanya
semuaviral;semua viral
senate;senat
sendiritweet;sendiri tweet
senenggg;seneng
sengawur;ngawur
sengsala;sengsara
sengsoro;sengsara
senoga;semoga
sensitive;sensitif
sentiments;sentimen
sep;september
sepadet;padat
sepat;sempat
sepertiny;sepertinya
sept;seperti
serik;syirik
seriously;serius
sersejarah;sejarah
seruni;serikat perempuan indonesia
seruuu;seru
sesimple;simpel
session;sesi
sesui;sesuai
sesuk;besok
sesumbar;seluruh sumatera barat
seta;serta
setebal;tebal
setelahparipurna;setelah paripurna
setrus;seterus
sets;seterus
several;beberapa
severance;pemutusan
seviral;viral
sg;snapgram
sgl;segala
sgt;sangat
shake;gemetar
shalat;salat
share;bagikan
sharing;berbagi
shark;hiu
shay;sayang
she;dia
shg;sehingga
shgga;sehingga
shingga;sehingga
shipper;pengirim
shit;tahi
shock;syok
shoes;sepatu
sholat;salat
shop;toko
should;sebaiknya
shre;bagikan
shrsnya;seharusnya
sia;kamu
sialannn;sialan
sianh;siang
siape;siapa
siapin;siapkan
siarin;siarkan
siber;cyber
siberbanyak;si berbanyak
siberpolisi;si berpolisi
sibertweet;cyber tweet
sich;sih
side;sisi
sido;jadi
sientralistik;sentralistik
sieun;takut
sigana;kayaknya
sign;masuk
signez;tanda
sihdpr;sih dewan perwakilan rakyat
sihh;sih
sihtweet;sih tweet
sii;sih
siih;sih
siji;satu
sikep;sikap
sikeras;si keras
sikk;sih
sikon;situasi dan kondisi
silhkan;silahkan
silopnya;silop
simpenan;simpanan
simple;simpel
since;sejak
sindiranramai;sindiran ramai
sinergisitas;sinergitas
sing;yang
singapore;singapura
singkronisasi;sinkronisasi
sinkronisa;sinkronisasi
sinkronisasi;sinkronisasi
sir;pak
sirkel;kalangan
sis;saudara
sisss;saudari
sist;saudari
sisters;saudari
sistim;sistem
site;situs
sitenya;situs
situkangmarahj;si tukang marah
sitweet;si tweet
sivil;sipil
sj;saja
sjmlh;sejumlah
sjsn;sistem jaminan sosial nasional
sjumlah;sejumlah
sjw;prajurit Keadilan sosial
skali;sekali
skarang;sekarang
skdr;sekedar
skedar;sekedar
skelompom;sekelompok
skg;sekarang
skill;ketrampilan
skillnya;ketrampilan
skr;sekarang
skrang;sekarang
skrg;sekarang
skripshit;skrip tahi
skrng;sekarang
skuy;ayo
slah;salah
slain;selain
slalu;selalu
slama;selama
slamet;selamat
slanjutnya;selanjutnya
slavery;perbudakan
sleep;tidur
slewengkan;selewengkan
slh;salah
sll;selalu
sllu;selalu
slmt;selamat
slow;lamban
slsai;selesai
slt;selatan
slur;dulur
sm;sama
smakin;semakin
smart;pintar
smesta;semesta
smg;semoga
smga;semoga
smi;suluh mudah indonesia
smlem;semalah
smoga;semoga
smpai;sampai
smpaikan;sampaikan
smpe;sampai
smua;semua
smuanya;semua
smw;semua
smwa;semua
sndal;sendal
sndiri;sendiri
sndri;sendiri
sngt;sangat
so;jadi
soale;soal
soalnyanyg;soal yang
sob;sobat
sobatkom;sobat kom
social;sosial
society;masyarakat
socmedku;sosial media aku
sodara;saudara
sodaraan;saudara
soekarna;soekarno
soft;lembut
sokap;siap
soksoan;sok sokan
soksokan;sok sokan
solat;salat
solatnya;salat
sold;terjual
solidarity;solidaritas
solomarak;solo marak
solution;solusi
some;beberapa
someone;seseorang
something;sesuatu
sonoh;sono
soon;segera
sopo;siapa
sorga;surga
sori;maaf
sorotanomnibus;sorotan omnibus
sorry;maaf
sory;maaf
sosialjokowi;sosial jokowi
sosmed;sosial media
sosmedpun;sosial media pun
sosoan;sok sokan
sotau;sok tahu
sotoy;sok tahu
soundcheck;tes suara
soup;sup
source;sumber
soyo;semakin
space;ruang
spaneng;tegang
spaya;supaya
speak;biacara
speakup;biacaralah
speechless;terdiam
spent;letih
sperti;seperti
spertinya;seperti
sponsornyatweet;sponsornya tweet
sportbook;buku olahraga
spotlight;menyoroti
spp;sumbangan pembinaan pendidikan
spread;sebaran
sprt;seperti
sprti;seperti
spsi;serikta pekerja seluruh indonesia
spt;seperti
sptj;surat pernyataan tanggung jawab
spy;supaya
sragam;seragam
srentak;serentak
srobot;serobot
srondol;serondol
srt;surat
sru;suruh
sruput;seruput
ssst;xyz
ssya;tangkap layar
stable;stabil
staff;staf
stafsus;staf khusus
stake;taruhan
